id,fecha_venta,monto_venta,descripcion,es_feriado,es_fin_de_semana,pagado_deuna
1,5/31/2025,0.15,Impresion B/N,f,t,f
2,5/31/2025,2,Fotos,f,t,f
3,5/31/2025,1.15,Impresiones BN,f,t,f
4,5/31/2025,10.5,Recarga $10,f,t,f
5,5/31/2025,10.5,Recarga $10,f,t,f
6,5/31/2025,3.8,Copias,f,t,f
7,5/31/2025,35,cargador dell,f,t,f
8,6/1/2025,10.5,recarga claro,f,t,f
9,6/1/2025,15,INSTALACION OFFICE,f,t,f
10,6/1/2025,1.1,RECARGA MOVI,f,t,f
11,6/1/2025,1.35,IMPRESIONES,f,t,f
12,6/1/2025,3.1,RECARGA CLARO,f,t,f
13,6/1/2025,1.1,RECARGA MOVI,f,t,f
14,6/1/2025,0.6,IMPRESIONES,f,t,f
15,6/1/2025,3,RECARGA CNT,f,t,f
16,6/2/2025,1,IMPRESION CARTA A4,f,f,f
17,6/2/2025,1.1,RECARGA,f,f,f
18,6/2/2025,0.35,DEPOSITO,f,f,f
19,6/2/2025,1.1,recara tuenti,f,f,f
20,6/2/2025,2.5,3 impresiones A3,f,f,f
21,6/2/2025,2,RECARGA TUENTI,f,f,f
22,6/2/2025,1.5,10 impresiones,f,f,f
23,6/2/2025,1.25,1 marcador doble punta,f,f,f
24,6/2/2025,0.25,Sobre,f,f,f
25,6/2/2025,0.75,IMPRESIONES,f,f,f
26,6/2/2025,1,pasta termica,f,f,f
27,6/2/2025,13.33,servicio basico,f,f,f
28,6/2/2025,34.44,SERVICIOS LUZ,f,f,f
29,6/2/2025,0.25,AYUDA INTERNET,f,f,f
30,6/2/2025,90.3,PAGO SERVICIOS,f,f,f
31,6/2/2025,0.35,COMISION BANCO,f,f,f
32,6/2/2025,0.6,IMPRESIONES,f,f,f
33,6/2/2025,3,Trabajo de impresiones,f,f,f
34,6/2/2025,4.05,IMPRESIONES,f,f,f
35,6/2/2025,1.8,IMPRESIONES,f,f,f
36,6/2/2025,0.8,IMPRESIONES,f,f,f
37,6/2/2025,10.25,RECARGA MOVI,f,f,f
38,6/2/2025,7.3,PAGO EMGIRS,f,f,f
39,6/2/2025,0.35,COMISION TRANSFERENCIA,f,f,f
40,6/2/2025,19.33,PAGO LUZ,f,f,f
41,6/2/2025,8.32,PAGO CNT,f,f,f
42,6/2/2025,15.2,PAGO CNT,f,f,f
43,6/2/2025,26.36,PAGO AGUA,f,f,f
44,6/2/2025,13.17,PAGO ECUANET,f,f,f
45,6/2/2025,2,COMISION ENTREGA FACTURERA,f,f,f
46,6/2/2025,1.4,COPIAS CEDULA,f,f,f
47,6/2/2025,0.25,IMPRESION COLOR,f,f,f
48,6/2/2025,0.35,ESFERO AZUL,f,f,f
49,6/2/2025,0.5,carpeta,f,f,f
50,6/2/2025,5.9,impresiones,f,f,f
51,6/3/2025,3.8,Chip Tuenti,f,f,f
52,6/3/2025,3.8,Chip Tuenti,f,f,t
53,6/3/2025,1.7,impresiones,f,f,f
54,6/3/2025,3.95,impresiones,f,f,f
55,6/3/2025,2.5,cable celular,f,f,f
56,6/3/2025,39.92,PAGO LUZ,f,f,f
57,6/4/2025,11,impresiones,f,f,f
58,6/4/2025,5.1,RECARGA CNT,f,f,f
59,6/4/2025,0.7,impresiones,f,f,f
60,6/4/2025,0.75,impresiones,f,f,f
61,6/4/2025,4.4,IMPRESIONES,f,f,f
62,6/4/2025,8,RECARGA TUENTI,f,f,f
63,6/4/2025,1.75,IMPRESIONES,f,f,f
64,6/4/2025,2.5,IMPRESIONES,f,f,f
65,6/4/2025,1,CORDONES,f,f,f
66,6/4/2025,4.51,PAGO AGUA,f,f,f
67,6/4/2025,18.99,PAGO PLAN,f,f,f
68,6/4/2025,3.64,PAGO AGUA,f,f,f
69,6/4/2025,4,tramite en linea,f,f,f
70,6/4/2025,3,tramite en linea,f,f,f
71,6/4/2025,46,bateria celular,f,f,f
72,6/4/2025,19.4,PAGO PLAN CELULAR,f,f,f
73,6/4/2025,1,RECARGA CLARO PAPI,f,f,f
74,6/4/2025,1.1,RECARGA TUENTI,f,f,f
75,6/4/2025,8,RECARGA CLARO,f,f,f
76,6/4/2025,1.05,RECARGA CLARO,f,f,f
77,6/4/2025,1.05,RECARGA CLARO,f,f,f
78,6/4/2025,3.5,RECARGA CLARO,f,f,f
79,6/4/2025,0.3,COPIAS,f,f,f
80,6/3/2025,1.1,RECARGA MOVI,f,f,f
81,6/4/2025,3,RECARGA MOVI,f,f,f
82,6/4/2025,17,4 FRASCOS TINTA,f,f,f
83,6/4/2025,0.5,2 GLOBOS,f,f,f
84,6/4/2025,14.5,IMPRESION Y ESCANER,f,f,f
85,6/4/2025,4.75,IMPRESIONES,f,f,f
86,6/3/2025,3.1,RECARGA PAPI,f,f,f
87,6/4/2025,4,RECARGA TUENTI PAPI,f,f,f
88,6/5/2025,1.1,RECARGA MOVI,f,f,f
89,6/5/2025,0.6,IMPRESIONES,f,f,f
90,6/5/2025,7.38,PAGO AGUA,f,f,f
91,6/5/2025,21.58,PAGO INTERNET,f,f,f
92,6/5/2025,46.03,PAGO PLAN,f,f,f
93,6/5/2025,39.24,PAGO LUZ,f,f,f
94,6/5/2025,8.64,PAGO TELEFONO,f,f,f
