fecha_venta,cantidad_vendida,descripcion,precio_unitario,total
2/14/2025,3,Helados Torito,0.80,2.40
2/14/2025,1,Helados Torito,0.80,0.80
2/14/2025,1,Silicona Liquida,1.50,1.50
2/14/2025,5,Barras Silicona pequeña,0.35,1.75
2/14/2025,7,Liston rosa,0.30,2.10
2/14/2025,1,Scotch mediano,1.10,1.10
2/14/2025,2,Copias,0.10,0.20
2/14/2025,4,Helados Torito,0.80,3.20
2/14/2025,3,Helados Torito,0.80,2.40
2/14/2025,2,Pliego Cartulina,0.50,1.00
2/14/2025,2,Helados Torito,0.80,1.60
2/14/2025,1,Mini tape,0.05,0.05
2/14/2025,10,Cartulinas,0.15,1.50
2/14/2025,4,Fomix escarchado,0.35,1.40
2/14/2025,1,Helados Torito,0.80,0.80
2/14/2025,1,Scotch grande,1.50,1.50
2/15/2025,10,Impresiones BN,0.15,1.50
2/15/2025,2,Helados Torito,0.80,1.60
2/15/2025,3,Impresiones Color,0.20,0.60
2/15/2025,2,Copias Color,0.25,0.50
2/15/2025,3,Copias BN,0.15,0.45
2/15/2025,10,Copias Color,0.15,1.50
2/15/2025,10,Impresiones Color,0.15,1.50
2/15/2025,1,Helados Torito,0.80,0.80
2/15/2025,4,Fundas regalo,1.25,5.00
2/15/2025,2,Impresiones BN,0.25,0.50
2/15/2025,1,Helados Torito,0.80,0.80
2/15/2025,2,Impresiones Color,0.35,0.70
2/17/2025,1,Carpeta,0.30,0.30
2/17/2025,1,Carpeta,2.10,2.10
2/17/2025,5,Hojas Lineas,0.03,0.15
2/17/2025,1,Recarga,1.10,1.10
2/17/2025,26,Copias BN,0.05,1.30
2/17/2025,1,Impresiones BN,0.15,0.15
2/17/2025,1,Impresiones Color,0.20,0.20
2/17/2025,2,Impresiones Color,0.20,0.40
2/18/2025,2,Impresiones BN,0.15,0.30
2/18/2025,1,Lapicero,0.90,0.90
2/18/2025,3,Cartulinas,0.12,0.36
2/19/2025,14,Impresiones BN,0.15,2.10
2/19/2025,2,Copias  BN ,0.05,0.10
2/19/2025,1,Impresiones C,1.30,1.30
2/19/2025,1,Copias C,0.45,0.45
2/19/2025,1,Carpeta,1.25,1.25
2/19/2025,1,Recarga,1.10,1.10
2/19/2025,2,Juegos Impresiones ,0.80,1.60
2/19/2025,1,Carpeta carton,0.50,0.50
2/19/2025,1,Pliego papel celofan,0.75,0.75
2/19/2025,2,Helados Torito,0.80,1.60
2/19/2025,1,Goma barra,0.95,0.95
2/19/2025,2,Helados Torito,0.80,1.60
2/19/2025,3,Helados Torito,0.80,2.40
2/19/2025,2,Helados Torito,0.80,1.60
2/19/2025,1,Copias Cedula Color,0.70,0.70
2/19/2025,1,Resma papel,3.90,3.90
2/19/2025,3,Helados Torito,0.80,2.40
2/20/2025,1,Carta,2.00,2.00
2/20/2025,1,Copias Cedula,0.20,0.20
2/20/2025,3,Helados Torito,0.80,2.40
2/20/2025,1,Impresiones,0.50,0.50
2/20/2025,1,Sobre,0.35,0.35
2/20/2025,1,Cinta embalaje,1.25,1.25
2/20/2025,20,Impresioneserdibles,0.10,2.00
2/20/2025,1,Copias Color,0.70,0.70
2/20/2025,1,Papel Crepe,0.60,0.60
2/20/2025,1,Papel selofan,0.70,0.70
2/20/2025,2,Helados Torito,0.80,1.60
2/20/2025,3,Helados Torito,0.80,2.40
2/20/2025,1,Helados Torito,0.80,0.80
2/20/2025,1,Papel selofan,0.70,0.70
2/20/2025,2,Helados Torito,0.80,1.60
2/20/2025,11,Impresiones,0.15,1.65
2/20/2025,1,Impresiones,0.15,0.15
2/20/2025,1,Helados Torito,0.80,0.80
2/20/2025,2,Impresiones,0.15,0.30
2/20/2025,2,Recarga,1.00,2.00
2/21/2025,1,Helados Torito,0.80,0.80
2/21/2025,2,Reciberas,1.25,2.50
2/21/2025,3,Sobres manila,0.35,1.05
2/21/2025,1,Helados Torito,0.80,0.80
2/21/2025,1,Impresiones,0.85,0.85
2/21/2025,1,Helados Torito,0.80,0.80
2/21/2025,1,Impresiones,0.25,0.25
2/21/2025,1,Impresiones,0.35,0.35
2/21/2025,6,Helados Torito,0.80,4.80
2/21/2025,1,Recarga,5.00,5.00
2/21/2025,1,Carpeta,1.25,1.25
2/21/2025,1,Papel,1.15,1.15
2/21/2025,3,Esferos,0.50,1.50
2/21/2025,1,Copias,0.75,0.75
2/21/2025,1,Helados Torito,0.80,0.80
2/23/2025,80,Impresiones,0.15,12.00
2/23/2025,19,Impresiones,0.15,2.85
2/23/2025,12,Impresiones,0.15,1.80
2/23/2025,7,Helados Torito,0.80,5.60
2/23/2025,4,Helados Torito,0.80,3.20
2/23/2025,2,Fundas regalo,1.50,3.00
2/23/2025,14,Impresiones,0.15,2.10
2/25/2025,2,Esferos,0.50,1.00
2/25/2025,1,Libreta,1.25,1.25
2/25/2025,1,Copias,0.60,0.60
2/25/2025,22,Copias,0.15,3.30
2/25/2025,1,Copias,0.05,0.05
2/25/2025,1,Recarga,1.10,1.10
2/25/2025,1,Agua,0.50,0.50
2/25/2025,1,Impresiones,0.25,0.25
2/25/2025,1,Carpeta,1.75,1.75
2/25/2025,1,Telefono,0.20,0.20
2/25/2025,1,Copias,0.50,0.50
2/25/2025,1,Copias,0.10,0.10
2/25/2025,1,Llamadas,0.35,0.35
2/25/2025,1,Sobre,0.30,0.30
2/25/2025,1,Helados Torito,0.80,0.80
2/25/2025,1,Recarga,3.10,3.10
2/25/2025,4,Impresiones,0.25,1.00
2/25/2025,1,Funda regalo,1.25,1.25
2/25/2025,1,Papel,0.30,0.30
2/25/2025,1,Tijera,1.25,1.25
2/25/2025,1,Carta,1.25,1.25
2/25/2025,3,Esferos,0.50,1.50
2/25/2025,1,Libreta,1.25,1.25
2/25/2025,1,Helados Torito,0.80,0.80
2/25/2025,1,Pliego,1.00,1.00
2/25/2025,1,Helados Torito,0.80,0.80
2/25/2025,1,CD,0.50,0.50
2/25/2025,10,Papel ministro,0.15,1.50
2/25/2025,30,Copias,0.05,1.50
2/25/2025,1,Forro Mica,0.40,0.40
2/25/2025,1,Plastificado,0.60,0.60
2/25/2025,1,Caja dvd,1.25,1.25
2/25/2025,1,Copias CD,1.25,1.25
2/25/2025,2,Helados Torito,0.80,1.60
2/25/2025,1,Helados Torito,0.80,0.80
2/25/2025,1,Recarga,1.00,1.00
2/26/2025,1,Digitalizado,0.40,0.40
2/26/2025,2,Copias,0.05,0.10
2/26/2025,1,Varios,1.50,1.50
2/26/2025,1,Carterita,4.50,4.50
2/26/2025,1,Mouse,9.00,9.00
2/26/2025,1,Acuarela,3.00,3.00
2/26/2025,1,Impresiones,0.20,0.20
2/26/2025,2,Helados Torito,0.80,1.60
2/26/2025,10,Impresiones,0.40,4.00
2/26/2025,1,Sobre,1.00,1.00
2/26/2025,1,Esfero,1.00,1.00
2/26/2025,5,Impresiones,0.15,0.75
2/26/2025,1,Impresiones,0.20,0.20
2/26/2025,4,Impresiones,0.35,1.40
2/26/2025,1,Estilete,1.25,1.25
2/26/2025,1,Tijera,1.75,1.75
2/26/2025,2,Helados Torito,0.80,1.60
3/7/2025,8,Globos,0.20,1.60
3/7/2025,2,Impresiones,0.15,0.30
3/7/2025,2,Impresiones,0.25,0.50
3/7/2025,1,Marcador,0.90,0.90
3/7/2025,6,Cartulinas inen,0.15,0.90
3/7/2025,1,Internet  ,1.40,1.40
3/7/2025,5,Globos,0.20,1.00
3/7/2025,1,Caja de tizas,1.50,1.50
3/7/2025,2,Helados Torito,0.80,1.60
3/7/2025,1,Impresiones,0.15,0.15
3/7/2025,1,Lego ,8.00,8.00
3/7/2025,1,Impresiones,2.50,2.50
3/7/2025,1,Helados Torito,0.80,0.80
3/7/2025,1,Cartulina A3,0.25,0.25
3/7/2025,1,Recarga,1.00,1.00
3/7/2025,1,Sobre manila,0.30,0.30
3/7/2025,1,Impresiones,0.70,0.70
3/7/2025,1,Calculadora,3.50,3.50
3/7/2025,10,Helados Torito,0.80,8.00
3/7/2025,1,Impresiones,0.15,0.15
3/7/2025,1,Internet,0.85,0.85
3/7/2025,1,Copias,0.10,0.10
3/8/2025,6,Helados Torito,0.80,4.80
